#    L    TT             EE             TE             PP             TP          
   116    0.32472E+04    0.99259E+00   -0.33939E+02    0.43549E+07    0.46851E+04
   117    0.32816E+04    0.10032E+01   -0.34550E+02    0.43281E+07    0.46192E+04
   118    0.33161E+04    0.10136E+01   -0.35154E+02    0.43016E+07    0.45544E+04
   119    0.33506E+04    0.10236E+01   -0.35748E+02    0.42752E+07    0.44906E+04
   120    0.33853E+04    0.10331E+01   -0.36332E+02    0.42491E+07    0.44278E+04
   121    0.34200E+04    0.10423E+01   -0.36906E+02    0.42231E+07    0.43661E+04
   122    0.34547E+04    0.10510E+01   -0.37469E+02    0.41973E+07    0.43054E+04
   123    0.34896E+04    0.10593E+01   -0.38022E+02    0.41716E+07    0.42457E+04
   124    0.35245E+04    0.10671E+01   -0.38561E+02    0.41462E+07    0.41871E+04
   125    0.35594E+04    0.10745E+01   -0.39088E+02    0.41209E+07    0.41294E+04
   126    0.35943E+04    0.10816E+01   -0.39603E+02    0.40958E+07    0.40728E+04
   127    0.36293E+04    0.10881E+01   -0.40105E+02    0.40709E+07    0.40172E+04
   128    0.36642E+04    0.10942E+01   -0.40593E+02    0.40462E+07    0.39625E+04
   129    0.36992E+04    0.10998E+01   -0.41066E+02    0.40217E+07    0.39089E+04
   130    0.37342E+04    0.11048E+01   -0.41524E+02    0.39974E+07    0.38563E+04
   131    0.37692E+04    0.11095E+01   -0.41967E+02    0.39732E+07    0.38046E+04
   132    0.38042E+04    0.11136E+01   -0.42394E+02    0.39492E+07    0.37540E+04
   133    0.38392E+04    0.11173E+01   -0.42805E+02    0.39255E+07    0.37042E+04
   134    0.38741E+04    0.11205E+01   -0.43198E+02    0.39019E+07    0.36554E+04
   135    0.39090E+04    0.11232E+01   -0.43574E+02    0.38784E+07    0.36074E+04
   136    0.39438E+04    0.11253E+01   -0.43930E+02    0.38552E+07    0.35604E+04
   137    0.39786E+04    0.11270E+01   -0.44269E+02    0.38321E+07    0.35142E+04
   138    0.40133E+04    0.11281E+01   -0.44588E+02    0.38093E+07    0.34688E+04
   139    0.40477E+04    0.11289E+01   -0.44887E+02    0.37866E+07    0.34241E+04
   140    0.40823E+04    0.11290E+01   -0.45168E+02    0.37640E+07    0.33803E+04
   141    0.41166E+04    0.11286E+01   -0.45427E+02    0.37417E+07    0.33372E+04
   142    0.41509E+04    0.11278E+01   -0.45665E+02    0.37195E+07    0.32949E+04
   143    0.41851E+04    0.11265E+01   -0.45883E+02    0.36975E+07    0.32532E+04
   144    0.42191E+04    0.11246E+01   -0.46080E+02    0.36757E+07    0.32122E+04
   145    0.42529E+04    0.11224E+01   -0.46254E+02    0.36540E+07    0.31719E+04
   146    0.42868E+04    0.11196E+01   -0.46407E+02    0.36326E+07    0.31322E+04
   147    0.43204E+04    0.11163E+01   -0.46536E+02    0.36112E+07    0.30931E+04
   148    0.43538E+04    0.11126E+01   -0.46643E+02    0.35901E+07    0.30546E+04
   149    0.43871E+04    0.11083E+01   -0.46727E+02    0.35691E+07    0.30167E+04
   150    0.44202E+04    0.11037E+01   -0.46785E+02    0.35483E+07    0.29793E+04
   151    0.44530E+04    0.10986E+01   -0.46820E+02    0.35277E+07    0.29424E+04
   152    0.44856E+04    0.10930E+01   -0.46832E+02    0.35072E+07    0.29060E+04
   153    0.45181E+04    0.10870E+01   -0.46816E+02    0.34869E+07    0.28701E+04
   154    0.45503E+04    0.10807E+01   -0.46777E+02    0.34667E+07    0.28347E+04
   155    0.45823E+04    0.10739E+01   -0.46713E+02    0.34467E+07    0.27998E+04
   156    0.46139E+04    0.10667E+01   -0.46624E+02    0.34269E+07    0.27654E+04
   157    0.46455E+04    0.10592E+01   -0.46508E+02    0.34072E+07    0.27315E+04
