#    L    TT             EE             TE             PP             TP          
   288    0.44095E+04    0.72582E+01    0.11209E+03    0.18545E+07    0.79552E+03
   289    0.43778E+04    0.74244E+01    0.11282E+03    0.18470E+07    0.78960E+03
   290    0.43460E+04    0.75922E+01    0.11353E+03    0.18395E+07    0.78373E+03
   291    0.43140E+04    0.77623E+01    0.11419E+03    0.18322E+07    0.77793E+03
   292    0.42816E+04    0.79335E+01    0.11482E+03    0.18248E+07    0.77218E+03
   293    0.42493E+04    0.81054E+01    0.11542E+03    0.18175E+07    0.76650E+03
   294    0.42168E+04    0.82797E+01    0.11598E+03    0.18102E+07    0.76087E+03
   295    0.41843E+04    0.84547E+01    0.11651E+03    0.18030E+07    0.75530E+03
   296    0.41515E+04    0.86319E+01    0.11700E+03    0.17959E+07    0.74978E+03
   297    0.41186E+04    0.88092E+01    0.11746E+03    0.17887E+07    0.74431E+03
   298    0.40856E+04    0.89888E+01    0.11787E+03    0.17816E+07    0.73890E+03
   299    0.40525E+04    0.91699E+01    0.11825E+03    0.17746E+07    0.73354E+03
   300    0.40193E+04    0.93510E+01    0.11859E+03    0.17676E+07    0.72823E+03
   301    0.39860E+04    0.95336E+01    0.11890E+03    0.17606E+07    0.72297E+03
   302    0.39527E+04    0.97170E+01    0.11918E+03    0.17537E+07    0.71776E+03
   303    0.39194E+04    0.99019E+01    0.11941E+03    0.17468E+07    0.71259E+03
   304    0.38859E+04    0.10088E+02    0.11960E+03    0.17400E+07    0.70747E+03
   305    0.38525E+04    0.10275E+02    0.11976E+03    0.17332E+07    0.70240E+03
   306    0.38190E+04    0.10462E+02    0.11988E+03    0.17264E+07    0.69737E+03
   307    0.37855E+04    0.10650E+02    0.11995E+03    0.17197E+07    0.69239E+03
   308    0.37520E+04    0.10840E+02    0.12000E+03    0.17130E+07    0.68745E+03
   309    0.37186E+04    0.11029E+02    0.12000E+03    0.17063E+07    0.68255E+03
   310    0.36852E+04    0.11219E+02    0.11997E+03    0.16997E+07    0.67770E+03
   311    0.36518E+04    0.11411E+02    0.11989E+03    0.16931E+07    0.67289E+03
   312    0.36184E+04    0.11601E+02    0.11978E+03    0.16866E+07    0.66813E+03
   313    0.35851E+04    0.11793E+02    0.11963E+03    0.16801E+07    0.66340E+03
   314    0.35519E+04    0.11986E+02    0.11944E+03    0.16736E+07    0.65872E+03
   315    0.35187E+04    0.12177E+02    0.11921E+03    0.16672E+07    0.65407E+03
   316    0.34856E+04    0.12370E+02    0.11895E+03    0.16608E+07    0.64947E+03
   317    0.34526E+04    0.12561E+02    0.11864E+03    0.16544E+07    0.64490E+03
   318    0.34197E+04    0.12754E+02    0.11830E+03    0.16481E+07    0.64037E+03
   319    0.33869E+04    0.12947E+02    0.11792E+03    0.16418E+07    0.63588E+03
   320    0.33543E+04    0.13139E+02    0.11750E+03    0.16356E+07    0.63143E+03
   321    0.33218E+04    0.13332E+02    0.11705E+03    0.16293E+07    0.62701E+03
