#    L    TT             EE             TE             PP             TP          
   169    0.48863E+04    0.92199E+00   -0.41716E+02    0.32011E+07    0.23677E+04
   170    0.49137E+04    0.91125E+00   -0.41256E+02    0.31836E+07    0.23402E+04
   171    0.49405E+04    0.90043E+00   -0.40767E+02    0.31662E+07    0.23131E+04
   172    0.49670E+04    0.88946E+00   -0.40251E+02    0.31490E+07    0.22865E+04
   173    0.49930E+04    0.87835E+00   -0.39708E+02    0.31320E+07    0.22603E+04
   174    0.50187E+04    0.86738E+00   -0.39139E+02    0.31150E+07    0.22346E+04
   175    0.50440E+04    0.85626E+00   -0.38541E+02    0.30982E+07    0.22093E+04
   176    0.50688E+04    0.84521E+00   -0.37915E+02    0.30816E+07    0.21845E+04
   177    0.50932E+04    0.83416E+00   -0.37263E+02    0.30650E+07    0.21601E+04
   178    0.51171E+04    0.82334E+00   -0.36583E+02    0.30487E+07    0.21361E+04
   179    0.51406E+04    0.81244E+00   -0.35876E+02    0.30324E+07    0.21126E+04
   180    0.51638E+04    0.80170E+00   -0.35141E+02    0.30163E+07    0.20895E+04
   181    0.51865E+04    0.79110E+00   -0.34381E+02    0.30003E+07    0.20667E+04
   182    0.52087E+04    0.78072E+00   -0.33593E+02    0.29844E+07    0.20444E+04
   183    0.52303E+04    0.77050E+00   -0.32778E+02    0.29687E+07    0.20224E+04
   184    0.52516E+04    0.76050E+00   -0.31936E+02    0.29531E+07    0.20008E+04
   185    0.52724E+04    0.75088E+00   -0.31069E+02    0.29376E+07    0.19796E+04
   186    0.52924E+04    0.74149E+00   -0.30175E+02    0.29222E+07    0.19587E+04
   187    0.53123E+04    0.73248E+00   -0.29254E+02    0.29070E+07    0.19381E+04
   188    0.53316E+04    0.72383E+00   -0.28308E+02    0.28919E+07    0.19179E+04
   189    0.53503E+04    0.71557E+00   -0.27336E+02    0.28769E+07    0.18980E+04
   190    0.53689E+04    0.70777E+00   -0.26340E+02    0.28620E+07    0.18784E+04
   191    0.53866E+04    0.70044E+00   -0.25316E+02    0.28472E+07    0.18591E+04
   192    0.54039E+04    0.69361E+00   -0.24268E+02    0.28326E+07    0.18401E+04
   193    0.54205E+04    0.68732E+00   -0.23196E+02    0.28181E+07    0.18214E+04
   194    0.54369E+04    0.68160E+00   -0.22099E+02    0.28037E+07    0.18030E+04
   195    0.54526E+04    0.67649E+00   -0.20979E+02    0.27894E+07    0.17848E+04
   196    0.54677E+04    0.67203E+00   -0.19834E+02    0.27752E+07    0.17669E+04
   197    0.54824E+04    0.66825E+00   -0.18667E+02    0.27611E+07    0.17492E+04
   198    0.54965E+04    0.66520E+00   -0.17476E+02    0.27471E+07    0.17317E+04
   199    0.55102E+04    0.66289E+00   -0.16263E+02    0.27333E+07    0.17145E+04
   200    0.55233E+04    0.66137E+00   -0.15027E+02    0.27195E+07    0.16974E+04
   201    0.55358E+04    0.66069E+00   -0.13770E+02    0.27059E+07    0.16806E+04
   202    0.55478E+04    0.66086E+00   -0.12491E+02    0.26924E+07    0.16640E+04
   203    0.55592E+04    0.66194E+00   -0.11190E+02    0.26789E+07    0.16476E+04
   204    0.55700E+04    0.66395E+00   -0.98703E+01    0.26656E+07    0.16313E+04
