#    L    TT             EE             TE             PP             TP          
   142    0.41244E+04    0.11164E+01   -0.45178E+02    0.36963E+07    0.33284E+04
   143    0.41583E+04    0.11149E+01   -0.45385E+02    0.36745E+07    0.32867E+04
   144    0.41920E+04    0.11129E+01   -0.45570E+02    0.36529E+07    0.32457E+04
   145    0.42255E+04    0.11105E+01   -0.45733E+02    0.36315E+07    0.32053E+04
   146    0.42591E+04    0.11075E+01   -0.45874E+02    0.36102E+07    0.31656E+04
   147    0.42923E+04    0.11041E+01   -0.45991E+02    0.35891E+07    0.31264E+04
   148    0.43254E+04    0.11002E+01   -0.46087E+02    0.35681E+07    0.30879E+04
   149    0.43584E+04    0.10958E+01   -0.46159E+02    0.35473E+07    0.30499E+04
   150    0.43911E+04    0.10911E+01   -0.46205E+02    0.35267E+07    0.30124E+04
   151    0.44237E+04    0.10859E+01   -0.46228E+02    0.35063E+07    0.29753E+04
   152    0.44559E+04    0.10802E+01   -0.46227E+02    0.34860E+07    0.29388E+04
   153    0.44880E+04    0.10741E+01   -0.46200E+02    0.34659E+07    0.29027E+04
   154    0.45199E+04    0.10676E+01   -0.46149E+02    0.34459E+07    0.28672E+04
   155    0.45516E+04    0.10607E+01   -0.46072E+02    0.34261E+07    0.28321E+04
   156    0.45829E+04    0.10535E+01   -0.45971E+02    0.34064E+07    0.27975E+04
   157    0.46141E+04    0.10459E+01   -0.45843E+02    0.33869E+07    0.27633E+04
   158    0.46450E+04    0.10380E+01   -0.45689E+02    0.33676E+07    0.27297E+04
   159    0.46756E+04    0.10296E+01   -0.45509E+02    0.33484E+07    0.26965E+04
   160    0.47060E+04    0.10210E+01   -0.45303E+02    0.33294E+07    0.26638E+04
   161    0.47362E+04    0.10121E+01   -0.45070E+02    0.33105E+07    0.26315E+04
   162    0.47660E+04    0.10028E+01   -0.44811E+02    0.32918E+07    0.25998E+04
   163    0.47957E+04    0.99328E+00   -0.44525E+02    0.32732E+07    0.25685E+04
   164    0.48249E+04    0.98350E+00   -0.44214E+02    0.32548E+07    0.25376E+04
   165    0.48540E+04    0.97342E+00   -0.43874E+02    0.32366E+07    0.25073E+04
   166    0.48828E+04    0.96319E+00   -0.43507E+02    0.32184E+07    0.24774E+04
   167    0.49113E+04    0.95260E+00   -0.43115E+02    0.32005E+07    0.24480E+04
   168    0.49394E+04    0.94200E+00   -0.42694E+02    0.31827E+07    0.24191E+04
   169    0.49671E+04    0.93111E+00   -0.42245E+02    0.31650E+07    0.23906E+04
   170    0.49945E+04    0.92014E+00   -0.41770E+02    0.31474E+07    0.23626E+04
   171    0.50215E+04    0.90911E+00   -0.41265E+02    0.31301E+07    0.23350E+04
   172    0.50481E+04    0.89793E+00   -0.40733E+02    0.31128E+07    0.23079E+04
   173    0.50742E+04    0.88660E+00   -0.40174E+02    0.30957E+07    0.22813E+04
   174    0.51000E+04    0.87543E+00   -0.39587E+02    0.30787E+07    0.22552E+04
   175    0.51254E+04    0.86411E+00   -0.38972E+02    0.30619E+07    0.22295E+04
   176    0.51503E+04    0.85288E+00   -0.38329E+02    0.30452E+07    0.22042E+04
   177    0.51748E+04    0.84165E+00   -0.37658E+02    0.30287E+07    0.21795E+04
   178    0.51988E+04    0.83065E+00   -0.36960E+02    0.30123E+07    0.21551E+04
   179    0.52223E+04    0.81959E+00   -0.36233E+02    0.29960E+07    0.21312E+04
   180    0.52455E+04    0.80868E+00   -0.35480E+02    0.29799E+07    0.21077E+04
   181    0.52682E+04    0.79793E+00   -0.34700E+02    0.29639E+07    0.20846E+04
   182    0.52904E+04    0.78742E+00   -0.33891E+02    0.29480E+07    0.20620E+04
   183    0.53121E+04    0.77707E+00   -0.33056E+02    0.29322E+07    0.20397E+04
   184    0.53334E+04    0.76696E+00   -0.32194E+02    0.29166E+07    0.20177E+04
