#    L    TT             EE             TE             PP             TP          
   108    0.29626E+04    0.89686E+00   -0.28827E+02    0.45567E+07    0.53577E+04
   109    0.29955E+04    0.90982E+00   -0.29479E+02    0.45288E+07    0.52817E+04
   110    0.30284E+04    0.92247E+00   -0.30125E+02    0.45011E+07    0.52069E+04
   111    0.30616E+04    0.93488E+00   -0.30767E+02    0.44736E+07    0.51332E+04
   112    0.30948E+04    0.94698E+00   -0.31405E+02    0.44463E+07    0.50605E+04
   113    0.31283E+04    0.95876E+00   -0.32037E+02    0.44191E+07    0.49890E+04
   114    0.31619E+04    0.97015E+00   -0.32662E+02    0.43921E+07    0.49186E+04
   115    0.31958E+04    0.98131E+00   -0.33279E+02    0.43653E+07    0.48492E+04
   116    0.32296E+04    0.99200E+00   -0.33889E+02    0.43386E+07    0.47809E+04
   117    0.32637E+04    0.10023E+01   -0.34490E+02    0.43122E+07    0.47137E+04
   118    0.32979E+04    0.10124E+01   -0.35084E+02    0.42859E+07    0.46476E+04
   119    0.33322E+04    0.10220E+01   -0.35667E+02    0.42598E+07    0.45826E+04
   120    0.33666E+04    0.10312E+01   -0.36240E+02    0.42339E+07    0.45186E+04
   121    0.34010E+04    0.10401E+01   -0.36802E+02    0.42081E+07    0.44556E+04
   122    0.34355E+04    0.10484E+01   -0.37353E+02    0.41825E+07    0.43937E+04
   123    0.34700E+04    0.10563E+01   -0.37894E+02    0.41572E+07    0.43329E+04
   124    0.35046E+04    0.10638E+01   -0.38420E+02    0.41320E+07    0.42731E+04
   125    0.35392E+04    0.10709E+01   -0.38934E+02    0.41069E+07    0.42144E+04
   126    0.35739E+04    0.10775E+01   -0.39435E+02    0.40821E+07    0.41567E+04
   127    0.36086E+04    0.10836E+01   -0.39922E+02    0.40574E+07    0.41000E+04
   128    0.36432E+04    0.10893E+01   -0.40395E+02    0.40330E+07    0.40443E+04
   129    0.36779E+04    0.10945E+01   -0.40853E+02    0.40087E+07    0.39897E+04
   130    0.37126E+04    0.10991E+01   -0.41295E+02    0.39846E+07    0.39360E+04
   131    0.37472E+04    0.11034E+01   -0.41723E+02    0.39606E+07    0.38834E+04
   132    0.37820E+04    0.11071E+01   -0.42133E+02    0.39369E+07    0.38318E+04
   133    0.38166E+04    0.11103E+01   -0.42528E+02    0.39133E+07    0.37811E+04
   134    0.38512E+04    0.11131E+01   -0.42903E+02    0.38899E+07    0.37313E+04
   135    0.38858E+04    0.11153E+01   -0.43261E+02    0.38667E+07    0.36825E+04
   136    0.39203E+04    0.11170E+01   -0.43599E+02    0.38437E+07    0.36346E+04
   137    0.39547E+04    0.11182E+01   -0.43919E+02    0.38209E+07    0.35875E+04
   138    0.39891E+04    0.11189E+01   -0.44219E+02    0.37982E+07    0.35412E+04
   139    0.40232E+04    0.11192E+01   -0.44499E+02    0.37757E+07    0.34958E+04
   140    0.40573E+04    0.11189E+01   -0.44759E+02    0.37534E+07    0.34512E+04
   141    0.40913E+04    0.11181E+01   -0.44997E+02    0.37312E+07    0.34073E+04
   142    0.41252E+04    0.11168E+01   -0.45215E+02    0.37093E+07    0.33641E+04
