#    L    TT             EE             TE             PP             TP          
    99    0.27808E+04    0.79707E+00   -0.23576E+02    0.50875E+07    0.62699E+04
   100    0.28132E+04    0.81261E+00   -0.24267E+02    0.50567E+07    0.61789E+04
   101    0.28457E+04    0.82807E+00   -0.24960E+02    0.50260E+07    0.60897E+04
   102    0.28787E+04    0.84329E+00   -0.25652E+02    0.49955E+07    0.60024E+04
   103    0.29117E+04    0.85835E+00   -0.26346E+02    0.49651E+07    0.59167E+04
   104    0.29450E+04    0.87325E+00   -0.27037E+02    0.49349E+07    0.58326E+04
   105    0.29784E+04    0.88791E+00   -0.27728E+02    0.49049E+07    0.57501E+04
   106    0.30120E+04    0.90241E+00   -0.28417E+02    0.48750E+07    0.56689E+04
   107    0.30456E+04    0.91660E+00   -0.29103E+02    0.48453E+07    0.55892E+04
   108    0.30796E+04    0.93055E+00   -0.29787E+02    0.48157E+07    0.55107E+04
   109    0.31137E+04    0.94418E+00   -0.30468E+02    0.47864E+07    0.54334E+04
   110    0.31479E+04    0.95750E+00   -0.31143E+02    0.47572E+07    0.53571E+04
   111    0.31823E+04    0.97058E+00   -0.31814E+02    0.47282E+07    0.52820E+04
   112    0.32169E+04    0.98334E+00   -0.32481E+02    0.46994E+07    0.52078E+04
   113    0.32517E+04    0.99579E+00   -0.33142E+02    0.46707E+07    0.51347E+04
   114    0.32866E+04    0.10078E+01   -0.33795E+02    0.46423E+07    0.50626E+04
   115    0.33217E+04    0.10196E+01   -0.34442E+02    0.46140E+07    0.49915E+04
   116    0.33568E+04    0.10310E+01   -0.35082E+02    0.45859E+07    0.49214E+04
   117    0.33923E+04    0.10419E+01   -0.35712E+02    0.45580E+07    0.48524E+04
   118    0.34279E+04    0.10526E+01   -0.36335E+02    0.45303E+07    0.47845E+04
   119    0.34635E+04    0.10629E+01   -0.36947E+02    0.45028E+07    0.47175E+04
   120    0.34992E+04    0.10727E+01   -0.37549E+02    0.44755E+07    0.46517E+04
   121    0.35350E+04    0.10822E+01   -0.38141E+02    0.44484E+07    0.45868E+04
   122    0.35708E+04    0.10911E+01   -0.38722E+02    0.44214E+07    0.45231E+04
   123    0.36067E+04    0.10996E+01   -0.39291E+02    0.43946E+07    0.44604E+04
